	name
1373	Vigilante
1374	Vili
1375	Violator
1376	Violet Parr
1377	Virman Vundabar
1378	Vision II
1379	Vision
1380	Vixen (CW)
1381	Vixen II (CW)
1382	Vixen
1383	Volstagg (MCU)
1384	Vulture (MCU)
1385	Vulture
1386	Walrus
1387	War Machine II
1388	War Machine
1389	Warbird
1390	Warlock
1391	Warp
1392	Warpath
1393	Watcher
1394	Weapon Hex
1395	Weather Wizard (CW)
1396	Wendigo
1397	Wesker
1398	White Canary (CW)
1399	White Canary
1400	White Rabbit
1401	White Wolf (MCU)
1402	Wild Dog (CW)
1403	Wild Dog
1404	Wildfire
1405	Will Solace
1406	William Stryker (FOX)
1407	Willie Lumpkin
1408	Winter Soldier
1409	Witch King
1410	Witchblade
1411	Wiz Kid
1412	Wizard
1413	Wolfsbane
1414	Wolverine (EMH)
1415	Wolverine
1416	Wonder Girl (Titans)
1417	Wonder Girl
1418	Wonder Man
1419	Wonder Woman (GAM)
1420	Wonder Woman (Kingdom Come)
1421	Wonder Woman
1422	Wong (MCU)
1423	Wong
1424	World Breaker Hulk
1425	Wotan
1426	Wu
1427	Wyatt Wingfoot
1428	X-23 (FOX)
1429	X-23
1430	X-Man
1431	XS (CW)
1432	Yang
1433	Yellow Claw
1434	Yellowjacket II
1435	Yellowjacket III
1436	YellowJacket (MCU)
1437	Yellowjacket
1438	Yo-yo (MCU)
1439	Yoda
1440	Yondu (MCU)
1441	Yondu
1442	Yukio (FOX)
1443	Yukio
1444	Zane
1445	Zatanna
1446	Zero
1447	Zoom (New 52)
1448	Zoom
1449	Zzzax
